location,floor,first_recommendation_id,first_recommendation_count,second_recommendation_id,second_recommendation_count
1503 Rodin,15,39,,40,
1503 Rodin,,52,,,
,,52,,,
,,52,,,
,,52,,,
,,52,,,
2003 Rodin,20,42,,,
2003 Rodin,,52,,,
2408 Rodin,24,44,,,
2408 Rodin,,52,,,
424 English House,,52,,,
507 Harnwell,5,7,,8,
507 Harnwell,,52,,,
507 Harnwell,5,7,,8,
507 Harnwell,,52,,,
507 Harnwell,5,7,,8,
507 Harnwell,,52,,,
1314 Harrison,13,22,,23,
1314 Harrison,,52,,,
1314 Harrison,13,22,,23,
1314 Harrison,,52,,,
1314 Harrison,13,22,,23,
1314 Harrison,,52,,,
108 Rodin,1,36,,,
108 Rodin,,52,,,
302 Lauder College House,,48,,,
,,52,,,
306 Class of 25,,52,,,
153 Hill,,29,,,
403 Lauder College House,,48,,,
509 Harrison,5,18,,19,
509 Harrison,,52,,,
509 Harrison,5,18,,19,
509 Harrison,,52,,,
509 Harrison,5,18,,19,
509 Harrison,,52,,,
521 Lauder College House,,48,,,
401 Kings Court,,52,,,
,,52,,,
1503 Rodin,15,39,,40,
1503 Rodin,,52,,,
1503 Rodin,15,39,,40,
1503 Rodin,,52,,,
1503 Rodin,15,39,,40,
1503 Rodin,,52,,,
330 Kings Court,,52,,,
330 Kings Court,,52,,,
330 Kings Court,,52,,,
1509 Harrison,15,23,,24,
1509 Harrison,,52,,,
1509 Harrison,15,23,,24,
1509 Harrison,,52,,,
313 Hill,,29,,,
42 Tau Epsilon Phi,,52,,,
,,52,,,
713 Harnwell,7,8,,9,
713 Harnwell,,52,,,
713 Harnwell,7,8,,9,
713 Harnwell,,52,,,
145 Hill,,29,,,
1613 Harrison,16,24,,,
1613 Harrison,,52,,,
1613 Harrison,16,24,,,
1613 Harrison,,52,,,
1613 Harrison,16,24,,,
1613 Harrison,,52,,,
167 Hill,,29,,,
,,52,,,
608 Rodin,6,35,,,
608 Rodin,,52,,,
310 Harrison,3,49,,18,
310 Harrison,,52,,,
143 Kings Court,,52,,,
143 Kings Court,,52,,,
214 Van Pelt,,50,,,
214 Van Pelt,,50,,,
1307 Harnwell,13,11,,12,
1307 Harnwell,,52,,,
1307 Harnwell,13,11,,12,
1307 Harnwell,,52,,,
,,52,,,
,,52,,,
517 English House,,52,,,
517 English House,,52,,,
1013 Harnwell,10,10,,,
1013 Harnwell,,52,,,
1709 Harrison,17,24,,25,
1709 Harrison,,52,,,
1709 Harrison,17,24,,25,
1709 Harrison,,52,,,
1111 Harrison,11,21,,22,
1111 Harrison,,52,,,
1111 Harrison,11,21,,22,
1111 Harrison,,52,,,
1111 Harrison,11,21,,22,
1111 Harrison,,52,,,
,,52,,,
,,52,,,
,,52,,,
,,52,,,
103 E. F. Smith,,52,,,
518 Hill,,29,,,
,,52,,,
,,52,,,
318 Van Pelt,,50,,,
108 Harnwell,1,9,,,
108 Harnwell,,52,,,
111 Harrison,1,20,,,
111 Harrison,,52,,,
